ID,Время создания,Ведете ли вы учет своих финансов?,Вы учитываете (учитывали) финансы:,Для учета финансов вам удобнее всего (было) использовать:,Каким смартфоном Вы пользуетесь,С помощью каких инструментов вы ведете (вели в прошлом) учет финансов:,"Назовите, пожалуйста, какие именно сервисы вы используете?",Какие возможности и функции этих сервисов нравятся вам больше всего?,Каких возможностей и функций в этих сервисах вам не хватает больше всего?,Как вы нашли эти сервисы?,Собираетесь ли вы вести учет своих финансов в будущем?,"Хотели бы вы попробовать готовый сервис учета финансов, которым  раньше никогда не пользовались?","Хотели бы вы попробовать готовый сервис учета финансов, которым раньше никогда не пользовались?",Какие свойства сервиса учета финансов для вас самые главные? (Можно выбрать несколько ответов) / Простота использования,"Какие свойства сервиса учета финансов для вас самые главные? (Можно выбрать несколько ответов) / Можно пользоваться и мобильной версией, и десктопной, и даже онлайн",Какие свойства сервиса учета финансов для вас самые главные? (Можно выбрать несколько ответов) / Высокий уровень защиты информации о средствах,Какие свойства сервиса учета финансов для вас самые главные? (Можно выбрать несколько ответов) / Есть визуализация (аналитика),Какие свойства сервиса учета финансов для вас самые главные? (Можно выбрать несколько ответов) / Можно всегда видеть остаток денежных средств,Какие свойства сервиса учета финансов для вас самые главные? (Можно выбрать несколько ответов) / Можно сделать копилку (накопления),Какие свойства сервиса учета финансов для вас самые главные? (Можно выбрать несколько ответов) / Можно отследить движение средств по категориям,Какие свойства сервиса учета финансов для вас самые главные? (Можно выбрать несколько ответов) / Возможность посмотреть движение средств за период,Какие свойства сервиса учета финансов для вас самые главные? (Можно выбрать несколько ответов) / Затрудняюсь ответить,Какие свойства сервиса учета финансов для вас самые главные? (Можно выбрать несколько ответов) / Другое,Другое:,Ваш пол:,Ваш возраст:,Вы сейчас живете:,"В регионе (край, республика, область, автономный округ):","В населенном пункте (город, поселок и т.п.):","Какими соцсетями, платформами, сайтами вы чаще всего пользуетесь (можно выбрать несколько вариантов)? / ВКонтакте","Какими соцсетями, платформами, сайтами вы чаще всего пользуетесь (можно выбрать несколько вариантов)? / Одноклассники","Какими соцсетями, платформами, сайтами вы чаще всего пользуетесь (можно выбрать несколько вариантов)? / YouTube","Какими соцсетями, платформами, сайтами вы чаще всего пользуетесь (можно выбрать несколько вариантов)? / Instagram* (* принадлежит организации, запрещенной на территории РФ)","Какими соцсетями, платформами, сайтами вы чаще всего пользуетесь (можно выбрать несколько вариантов)? / WhatsApp","Какими соцсетями, платформами, сайтами вы чаще всего пользуетесь (можно выбрать несколько вариантов)? / Telegram","Какими соцсетями, платформами, сайтами вы чаще всего пользуетесь (можно выбрать несколько вариантов)? / Facebook* (* принадлежит организации, запрещенной на территории РФ)","Какими соцсетями, платформами, сайтами вы чаще всего пользуетесь (можно выбрать несколько вариантов)? / Другое",Другое:,Какими способами вы обычно ищете нужные приложения или сервисы?,Ваши ближайшие доходы и расходы планируются:,Пользуетесь ли вы:,"Выберите, пожалуйста, по каким статьям из перечисленных ниже у вас есть регулярные расходы: / Еда","Выберите, пожалуйста, по каким статьям из перечисленных ниже у вас есть регулярные расходы: / Хозяйственный товары, предметы гигиены","Выберите, пожалуйста, по каким статьям из перечисленных ниже у вас есть регулярные расходы: / Регулярные платежи (ЖКУ, налоги, аренда жилья, мобильная связь, интернет)","Выберите, пожалуйста, по каким статьям из перечисленных ниже у вас есть регулярные расходы: / Выплаты по кредитам","Выберите, пожалуйста, по каким статьям из перечисленных ниже у вас есть регулярные расходы: / Общественный транспорт","Выберите, пожалуйста, по каким статьям из перечисленных ниже у вас есть регулярные расходы: / Обслуживание машины","Выберите, пожалуйста, по каким статьям из перечисленных ниже у вас есть регулярные расходы: / Покупка одежды, обуви","Выберите, пожалуйста, по каким статьям из перечисленных ниже у вас есть регулярные расходы: / Покупка бытовой техники","Выберите, пожалуйста, по каким статьям из перечисленных ниже у вас есть регулярные расходы: / Бытовые услуги (от парикмахерской до оплачиваемой помощи по дому)","Выберите, пожалуйста, по каким статьям из перечисленных ниже у вас есть регулярные расходы: / Развлечения, хобби, путешествия","Выберите, пожалуйста, по каким статьям из перечисленных ниже у вас есть регулярные расходы: / Образование и занятия детей","Выберите, пожалуйста, по каким статьям из перечисленных ниже у вас есть регулярные расходы: / Учеба взрослых","Выберите, пожалуйста, по каким статьям из перечисленных ниже у вас есть регулярные расходы: / Другое",Другое:,"Смогли ли бы вы хотя бы очень примерно оценить, как распределены ваши расходы по этим статьям в процентах (значок ""%"" указывать не надо)",Еда:,"Хозяйственный товары, предметы гигиены:","Регулярные платежи (ЖКУ, налоги, аренда жилья, мобильная связь, интернет)",Выплаты по кредитам:,Общественный транспорт:,Обслуживание машины:,"Покупка одежды, обуви:",Покупка бытовой техники:,Бытовые услуги (от парикмахерской до оплачиваемой помощи по дому):,"Развлечения, хобби, путешествия:",Образование и занятия детей:,Учеба взрослых:,Другое:,Комментарии и пожелания:
1374622843,2023-05-01 10:21:59,Да,Личные,Смартфон,на iOS (iPhone),Использую готовые сервисы учета финансов,"Тинькофф, сбер",Разделение затрат по темам,-,,,Скорее не буду пробовать,,,,,,,,,,,,,Женщина,21,В РФ,Нижегородская область,Нижний Новгород,ВКонтакте,,,,,Telegram,,,,В эппсторе,В рублях РФ,"И безналичными, и наличными деньгами",Еда,"Хозяйственный товары, предметы гигиены","Регулярные платежи (ЖКУ, налоги, аренда жилья, мобильная связь, интернет)",Выплаты по кредитам,Общественный транспорт,,"Покупка одежды, обуви",,Бытовые услуги (от парикмахерской до оплачиваемой помощи по дому),"Развлечения, хобби, путешествия",,,,,"Нет, не смог бы",,,,,,,,,,,,,,
1374469769,2023-05-01 02:34:25,"Нет, и никогда не вел(а)",,,,,,,,,"Возможно, я когда-нибудь попробую вести учет финансов",,"Возможно, попробую",Простота использования,"Можно пользоваться и мобильной версией, и десктопной, и даже онлайн",,,Можно всегда видеть остаток денежных средств,,Можно отследить движение средств по категориям,Возможность посмотреть движение средств за период,,,,Женщина,51,В РФ,Вологодская область,Вологда,ВКонтакте,,,,WhatsApp,,,,,Ищу в интернете.,В рублях РФ,"И безналичными, и наличными деньгами",Еда,"Хозяйственный товары, предметы гигиены","Регулярные платежи (ЖКУ, налоги, аренда жилья, мобильная связь, интернет)",,,,"Покупка одежды, обуви",Покупка бытовой техники,,"Развлечения, хобби, путешествия",Образование и занятия детей,,,,"Нет, не смог бы",,,,,,,,,,,,,,
1374394607,2023-04-30 22:26:49,"Нет, и никогда не вел(а)",,,,,,,,,"Нет, я не хочу учитывать свои финансы",,,,,,,,,,,,,,Женщина,38,В РФ,Вологодская область,Вологда,ВКонтакте,,,,WhatsApp,Telegram,,,,Гугл плэй,В рублях РФ,Только безналичными деньгами,Еда,"Хозяйственный товары, предметы гигиены","Регулярные платежи (ЖКУ, налоги, аренда жилья, мобильная связь, интернет)",Выплаты по кредитам,,,"Покупка одежды, обуви",,Бытовые услуги (от парикмахерской до оплачиваемой помощи по дому),,Образование и занятия детей,,,,"Нет, не смог бы",,,,,,,,,,,,,,
1374216004,2023-04-30 18:32:25,Да,Личные,Компьютер или ноутбук,,"Использую программы для работы с таблицами и базами данных (MS Excel, MS Access, Google Sheets и т.п.) или придумываю инструменты сам(а)",,,,,,"Возможно, попробую",,Простота использования,"Можно пользоваться и мобильной версией, и десктопной, и даже онлайн",,Есть визуализация (аналитика),,,,,,,,Мужчина,37,В РФ,Москва,Москва,ВКонтакте,,YouTube,,WhatsApp,Telegram,,,,Гугл,В рублях РФ,Только безналичными деньгами,Еда,,"Регулярные платежи (ЖКУ, налоги, аренда жилья, мобильная связь, интернет)",Выплаты по кредитам,,Обслуживание машины,"Покупка одежды, обуви",,,,,,,,"Нет, не смог бы",,,,,,,,,,,,,,
1374145977,2023-04-30 16:51:05,"Нет, но раньше вел(а)",Семейные,Компьютер или ноутбук,,"Использую программы для работы с таблицами и базами данных (MS Excel, MS Access, Google Sheets и т.п.) или придумываю инструменты сам(а)",,,,,,"Да, я хотел(а) бы попробовать",,Простота использования,,,,,,,,,,,Женщина,40,В РФ,Вологда,Вологда,ВКонтакте,,,,,,,,,Не ищу,В рублях РФ,"И безналичными, и наличными деньгами",Еда,,,,,,,,,,,,,,"Нет, не смог бы",,,,,,,,,,,,,,
1374140905,2023-04-30 16:43:36,Да,Личные,Смартфон,на iOS (iPhone),"Использую программы для работы с таблицами и базами данных (MS Excel, MS Access, Google Sheets и т.п.) или придумываю инструменты сам(а)",,,,,,"Нет, точно не буду пробовать",,,,,,,,,,,,,Женщина,49,В РФ,Вологодская область,Вологда,ВКонтакте,,,,,,,,,Через Яндекс,В рублях РФ,"И безналичными, и наличными деньгами",Еда,"Хозяйственный товары, предметы гигиены","Регулярные платежи (ЖКУ, налоги, аренда жилья, мобильная связь, интернет)",Выплаты по кредитам,,Обслуживание машины,"Покупка одежды, обуви",Покупка бытовой техники,Бытовые услуги (от парикмахерской до оплачиваемой помощи по дому),"Развлечения, хобби, путешествия",Образование и занятия детей,,,,"Нет, не смог бы",,,,,,,,,,,,,,
1374124706,2023-04-30 16:20:12,"Нет, и никогда не вел(а)",,,,,,,,,"Возможно, я когда-нибудь попробую вести учет финансов",,"Возможно, попробую",Простота использования,"Можно пользоваться и мобильной версией, и десктопной, и даже онлайн",,Есть визуализация (аналитика),,,Можно отследить движение средств по категориям,Возможность посмотреть движение средств за период,,,,Женщина,36,В РФ,Вологодская область,Вологда,ВКонтакте,,,,WhatsApp,Telegram,,,,Поисковик в браузере,В рублях РФ,"И безналичными, и наличными деньгами",Еда,,"Регулярные платежи (ЖКУ, налоги, аренда жилья, мобильная связь, интернет)",,,,,,,,Образование и занятия детей,,,,"Нет, не смог бы",,,,,,,,,,,,,,
1374106753,2023-04-30 15:53:24,Да,Личные,"И то, и другое",на iOS (iPhone),"Использую программы для работы с таблицами и базами данных (MS Excel, MS Access, Google Sheets и т.п.) или придумываю инструменты сам(а)",,,,,,"Да, я хотел(а) бы попробовать",,Простота использования,"Можно пользоваться и мобильной версией, и десктопной, и даже онлайн",Высокий уровень защиты информации о средствах,Есть визуализация (аналитика),Можно всегда видеть остаток денежных средств,Можно сделать копилку (накопления),Можно отследить движение средств по категориям,Возможность посмотреть движение средств за период,,,,Женщина,36,В РФ,Вологодская область,Вологда,ВКонтакте,,,,,Telegram,,,,AppStore,В рублях РФ,"И безналичными, и наличными деньгами",Еда,"Хозяйственный товары, предметы гигиены","Регулярные платежи (ЖКУ, налоги, аренда жилья, мобильная связь, интернет)",Выплаты по кредитам,Общественный транспорт,,"Покупка одежды, обуви",,Бытовые услуги (от парикмахерской до оплачиваемой помощи по дому),"Развлечения, хобби, путешествия",,Учеба взрослых,,,"Нет, не смог бы",,,,,,,,,,,,,,
1374094603,2023-04-30 15:33:49,Да,Семейные,Смартфон,на iOS (iPhone),"Использую программы для работы с таблицами и базами данных (MS Excel, MS Access, Google Sheets и т.п.) или придумываю инструменты сам(а)",,,,,,"Возможно, попробую",,Простота использования,"Можно пользоваться и мобильной версией, и десктопной, и даже онлайн",Высокий уровень защиты информации о средствах,Есть визуализация (аналитика),Можно всегда видеть остаток денежных средств,Можно сделать копилку (накопления),Можно отследить движение средств по категориям,Возможность посмотреть движение средств за период,,,,Женщина,37,В РФ,Вологодская область,Вологда,ВКонтакте,,,,WhatsApp,Telegram,,,,App Store,В рублях РФ,"И безналичными, и наличными деньгами",Еда,"Хозяйственный товары, предметы гигиены","Регулярные платежи (ЖКУ, налоги, аренда жилья, мобильная связь, интернет)",Выплаты по кредитам,,Обслуживание машины,"Покупка одежды, обуви",,Бытовые услуги (от парикмахерской до оплачиваемой помощи по дому),"Развлечения, хобби, путешествия",Образование и занятия детей,,,,"Нет, не смог бы",,,,,,,,,,,,,,
1374093539,2023-04-30 15:32:06,Да,Семейные,Смартфон,на iOS (iPhone),"Использую программы для работы с таблицами и базами данных (MS Excel, MS Access, Google Sheets и т.п.) или придумываю инструменты сам(а)",,,,,,"Возможно, попробую",,Простота использования,"Можно пользоваться и мобильной версией, и десктопной, и даже онлайн",Высокий уровень защиты информации о средствах,Есть визуализация (аналитика),Можно всегда видеть остаток денежных средств,Можно сделать копилку (накопления),Можно отследить движение средств по категориям,Возможность посмотреть движение средств за период,,,,Женщина,37,В РФ,Вологодская область,Вологда,ВКонтакте,,,,WhatsApp,Telegram,,,,App store,В рублях РФ,"И безналичными, и наличными деньгами",Еда,"Хозяйственный товары, предметы гигиены","Регулярные платежи (ЖКУ, налоги, аренда жилья, мобильная связь, интернет)",Выплаты по кредитам,,Обслуживание машины,"Покупка одежды, обуви",,Бытовые услуги (от парикмахерской до оплачиваемой помощи по дому),"Развлечения, хобби, путешествия",Образование и занятия детей,,,,"Нет, не смог бы",,,,,,,,,,,,,,
1374069480,2023-04-30 14:53:37,Да,Семейные,Смартфон,на ОС Android,"Использую программы для работы с таблицами и базами данных (MS Excel, MS Access, Google Sheets и т.п.) или придумываю инструменты сам(а)",,,,,,"Возможно, попробую",,Простота использования,,Высокий уровень защиты информации о средствах,,,,,,,,,Мужчина,36,В РФ,Вологодская область,Вологда,ВКонтакте,,YouTube,,WhatsApp,,,,,Яндекс,В рублях РФ,"И безналичными, и наличными деньгами",Еда,,"Регулярные платежи (ЖКУ, налоги, аренда жилья, мобильная связь, интернет)",,,Обслуживание машины,"Покупка одежды, обуви",,,"Развлечения, хобби, путешествия",Образование и занятия детей,,,,"Нет, не смог бы",,,,,,,,,,,,,,
1374067557,2023-04-30 14:50:46,"Нет, но раньше вел(а)","Когда-то личные, когда-то семейные",Компьютер или ноутбук,,"Использую программы для работы с таблицами и базами данных (MS Excel, MS Access, Google Sheets и т.п.) или придумываю инструменты сам(а)",,,,,,"Возможно, попробую",,Простота использования,"Можно пользоваться и мобильной версией, и десктопной, и даже онлайн",,Есть визуализация (аналитика),,,,,,,,Женщина,45,В РФ,Вологодская область,Вологда,ВКонтакте,,,,WhatsApp,,,,,Google play,В рублях РФ,Только безналичными деньгами,Еда,,"Регулярные платежи (ЖКУ, налоги, аренда жилья, мобильная связь, интернет)",Выплаты по кредитам,,Обслуживание машины,"Покупка одежды, обуви",,,"Развлечения, хобби, путешествия",,,,,"Нет, не смог бы",,,,,,,,,,,,,,
