ID,Время создания,Ведете ли вы учет своих финансов?,Вы учитываете (учитывали) финансы:,Для учета финансов вам удобнее всего (было) использовать:,Каким смартфоном Вы пользуетесь,С помощью каких инструментов вы ведете (вели в прошлом) учет финансов:,"Назовите, пожалуйста, какие именно сервисы вы используете?",Какие возможности и функции этих сервисов нравятся вам больше всего?,Каких возможностей и функций в этих сервисах вам не хватает больше всего?,Как вы нашли эти сервисы?,Собираетесь ли вы вести учет своих финансов в будущем?,"Хотели бы вы попробовать готовый сервис учета финансов, которым  раньше никогда не пользовались?","Хотели бы вы попробовать готовый сервис учета финансов, которым раньше никогда не пользовались?",Какие свойства сервиса учета финансов для вас самые главные? (Можно выбрать несколько ответов) / Простота использования,"Какие свойства сервиса учета финансов для вас самые главные? (Можно выбрать несколько ответов) / Можно пользоваться и мобильной версией, и десктопной, и даже онлайн",Какие свойства сервиса учета финансов для вас самые главные? (Можно выбрать несколько ответов) / Высокий уровень защиты информации о средствах,Какие свойства сервиса учета финансов для вас самые главные? (Можно выбрать несколько ответов) / Есть визуализация (аналитика),Какие свойства сервиса учета финансов для вас самые главные? (Можно выбрать несколько ответов) / Можно всегда видеть остаток денежных средств,Какие свойства сервиса учета финансов для вас самые главные? (Можно выбрать несколько ответов) / Можно сделать копилку (накопления),Какие свойства сервиса учета финансов для вас самые главные? (Можно выбрать несколько ответов) / Можно отследить движение средств по категориям,Какие свойства сервиса учета финансов для вас самые главные? (Можно выбрать несколько ответов) / Возможность посмотреть движение средств за период,Какие свойства сервиса учета финансов для вас самые главные? (Можно выбрать несколько ответов) / Затрудняюсь ответить,Какие свойства сервиса учета финансов для вас самые главные? (Можно выбрать несколько ответов) / Другое,Другое:,Ваш пол:,Ваш возраст:,Вы сейчас живете:,"В регионе (край, республика, область, автономный округ):","В населенном пункте (город, поселок и т.п.):","Какими соцсетями, платформами, сайтами вы чаще всего пользуетесь (можно выбрать несколько вариантов)? / ВКонтакте","Какими соцсетями, платформами, сайтами вы чаще всего пользуетесь (можно выбрать несколько вариантов)? / Одноклассники","Какими соцсетями, платформами, сайтами вы чаще всего пользуетесь (можно выбрать несколько вариантов)? / YouTube","Какими соцсетями, платформами, сайтами вы чаще всего пользуетесь (можно выбрать несколько вариантов)? / Instagram* (* принадлежит организации, запрещенной на территории РФ)","Какими соцсетями, платформами, сайтами вы чаще всего пользуетесь (можно выбрать несколько вариантов)? / WhatsApp","Какими соцсетями, платформами, сайтами вы чаще всего пользуетесь (можно выбрать несколько вариантов)? / Telegram","Какими соцсетями, платформами, сайтами вы чаще всего пользуетесь (можно выбрать несколько вариантов)? / Facebook* (* принадлежит организации, запрещенной на территории РФ)","Какими соцсетями, платформами, сайтами вы чаще всего пользуетесь (можно выбрать несколько вариантов)? / Другое",Другое:,Какими способами вы обычно ищете нужные приложения или сервисы?,Ваши ближайшие доходы и расходы планируются:,Пользуетесь ли вы:,"Выберите, пожалуйста, по каким статьям из перечисленных ниже у вас есть регулярные расходы: / Еда","Выберите, пожалуйста, по каким статьям из перечисленных ниже у вас есть регулярные расходы: / Хозяйственный товары, предметы гигиены","Выберите, пожалуйста, по каким статьям из перечисленных ниже у вас есть регулярные расходы: / Регулярные платежи (ЖКУ, налоги, аренда жилья, мобильная связь, интернет)","Выберите, пожалуйста, по каким статьям из перечисленных ниже у вас есть регулярные расходы: / Выплаты по кредитам","Выберите, пожалуйста, по каким статьям из перечисленных ниже у вас есть регулярные расходы: / Общественный транспорт","Выберите, пожалуйста, по каким статьям из перечисленных ниже у вас есть регулярные расходы: / Обслуживание машины","Выберите, пожалуйста, по каким статьям из перечисленных ниже у вас есть регулярные расходы: / Покупка одежды, обуви","Выберите, пожалуйста, по каким статьям из перечисленных ниже у вас есть регулярные расходы: / Покупка бытовой техники","Выберите, пожалуйста, по каким статьям из перечисленных ниже у вас есть регулярные расходы: / Бытовые услуги (от парикмахерской до оплачиваемой помощи по дому)","Выберите, пожалуйста, по каким статьям из перечисленных ниже у вас есть регулярные расходы: / Развлечения, хобби, путешествия","Выберите, пожалуйста, по каким статьям из перечисленных ниже у вас есть регулярные расходы: / Образование и занятия детей","Выберите, пожалуйста, по каким статьям из перечисленных ниже у вас есть регулярные расходы: / Учеба взрослых","Выберите, пожалуйста, по каким статьям из перечисленных ниже у вас есть регулярные расходы: / Другое",Другое:,"Смогли ли бы вы хотя бы очень примерно оценить, как распределены ваши расходы по этим статьям в процентах (значок ""%"" указывать не надо)",Еда:,"Хозяйственный товары, предметы гигиены:","Регулярные платежи (ЖКУ, налоги, аренда жилья, мобильная связь, интернет)",Выплаты по кредитам:,Общественный транспорт:,Обслуживание машины:,"Покупка одежды, обуви:",Покупка бытовой техники:,Бытовые услуги (от парикмахерской до оплачиваемой помощи по дому):,"Развлечения, хобби, путешествия:",Образование и занятия детей:,Учеба взрослых:,Другое:,Комментарии и пожелания:
1370320025,2023-04-26 11:21:59,Да,"Когда-то личные, когда-то семейные",Смартфон,на ОС Android,Использую готовые сервисы учета финансов,"Дзенмани 
Коинкипер",Учёт и анализ,,,,"Возможно, попробую",,Простота использования,"Можно пользоваться и мобильной версией, и десктопной, и даже онлайн",,Есть визуализация (аналитика),,,Можно отследить движение средств по категориям,,,,,Мужчина,25,В РФ,Москва,Москва,ВКонтакте,,,,,Telegram,,,,Интернет,В рублях РФ,Только безналичными деньгами,Еда,,"Регулярные платежи (ЖКУ, налоги, аренда жилья, мобильная связь, интернет)",,,,,,,,Образование и занятия детей,,,,"Да, смог бы",,,,,,,,,,,,,,
1369310017,2023-04-25 10:22:11,Да,Семейные,Компьютер или ноутбук,,"Использую программы для работы с таблицами и базами данных (MS Excel, MS Access, Google Sheets и т.п.) или придумываю инструменты сам(а)",,,,,,"Возможно, попробую",,Простота использования,"Можно пользоваться и мобильной версией, и десктопной, и даже онлайн",Высокий уровень защиты информации о средствах,Есть визуализация (аналитика),,,,,,,,Мужчина,45,В РФ,Санкт Петербург,Санкт Петербург,ВКонтакте,,,,,,,,,интернет,В рублях РФ,"И безналичными, и наличными деньгами",Еда,"Хозяйственный товары, предметы гигиены","Регулярные платежи (ЖКУ, налоги, аренда жилья, мобильная связь, интернет)",,,Обслуживание машины,"Покупка одежды, обуви",Покупка бытовой техники,Бытовые услуги (от парикмахерской до оплачиваемой помощи по дому),"Развлечения, хобби, путешествия",,,Другое,,"Нет, не смог бы",,,,,,,,,,,,,,
1369298315,2023-04-25 10:08:02,Да,Семейные,Смартфон,на iOS (iPhone),Использую готовые сервисы учета финансов,"Приложение для айфона Финансы, зеленого цвета с золотым долларом",Простота,,В поисковике AppStore,,"Да, я хотел(а) бы попробовать",,Простота использования,,,,Можно всегда видеть остаток денежных средств,,Можно отследить движение средств по категориям,Возможность посмотреть движение средств за период,,,,Женщина,29,В РФ,Ставропольский край,Георгиевск,,,YouTube,"Instagram* (* принадлежит организации, запрещенной на территории РФ)",WhatsApp,Telegram,,,,В поисковики appstore,В рублях РФ,Только безналичными деньгами,Еда,"Хозяйственный товары, предметы гигиены","Регулярные платежи (ЖКУ, налоги, аренда жилья, мобильная связь, интернет)",Выплаты по кредитам,Общественный транспорт,,,,Бытовые услуги (от парикмахерской до оплачиваемой помощи по дому),"Развлечения, хобби, путешествия",Образование и занятия детей,,Другое,"Занятия в спортзале, аптека, непредвиденные","Да, смог бы",25,5,10,10,5,,,,15,10,10,,10,
1368720038,2023-04-24 16:32:06,"Нет, но раньше вел(а)",Личные,"И то, и другое",на ОС Android,Использую готовые сервисы учета финансов,CoinKeeper со старым интерфейсом.,Было удобно. Туда-сюда всё перетащил и оно само посчиталось.,"Были сложности с распределением по категориям длинных чеков. Без конкретной цели тяжело себя заставить таким заниматься. Вроде в следующих версиях появилось взаимодействие с банками, но категории там распределялись бестолково.","Вероятно, приятель посоветовал.",,"Возможно, попробую",,Простота использования,"Можно пользоваться и мобильной версией, и десктопной, и даже онлайн",,Есть визуализация (аналитика),,Можно сделать копилку (накопления),Можно отследить движение средств по категориям,,,,,Мужчина,35,В РФ,Москва,Москва,ВКонтакте,,YouTube,,WhatsApp,Telegram,,,,"Яндекс, иногда видеообзоры на ютубе.",В рублях РФ,"И безналичными, и наличными деньгами",Еда,"Хозяйственный товары, предметы гигиены","Регулярные платежи (ЖКУ, налоги, аренда жилья, мобильная связь, интернет)",Выплаты по кредитам,Общественный транспорт,,"Покупка одежды, обуви",Покупка бытовой техники,Бытовые услуги (от парикмахерской до оплачиваемой помощи по дому),"Развлечения, хобби, путешествия",,Учеба взрослых,Другое,"Софт, гаджеты, инструменты, обновление ПК, спорт-инвентарь.","Нет, не смог бы",,,,,,,,,,,,,,Желаю вам сделать превосходный продукт ;-)
1368496560,2023-04-24 13:10:30,Да,"Когда-то личные, когда-то семейные","И то, и другое",на iOS (iPhone),Использую готовые сервисы учета финансов,Дребеденьги,"Аналитика, статьи расходов, статьи доходов, места хранения",Ещё более детальной аналитики. Возможности добавлять бизнесовые моменты,Давным давно мне посоветовали - лет 15 назад,,Скорее не буду пробовать,,,,,,,,,,,,,Женщина,36,В РФ,Мск,Мск,ВКонтакте,,YouTube,"Instagram* (* принадлежит организации, запрещенной на территории РФ)",WhatsApp,Telegram,"Facebook* (* принадлежит организации, запрещенной на территории РФ)",,,Поисковик,В рублях РФ,"И безналичными, и наличными деньгами",Еда,"Хозяйственный товары, предметы гигиены","Регулярные платежи (ЖКУ, налоги, аренда жилья, мобильная связь, интернет)",,Общественный транспорт,Обслуживание машины,"Покупка одежды, обуви",,Бытовые услуги (от парикмахерской до оплачиваемой помощи по дому),"Развлечения, хобби, путешествия",Образование и занятия детей,,Другое,"Дачи, ремонты, оплата услуг разных небытовых, покупка мебели, оплата детского обучения и расходы по разным детям, помощь родным финансово, страховки, медицина, аптеки, анализы, игрушки и многое другое","Нет, не смог бы",,,,,,,,,,,,,,"Мне не важно, как именно они распределены - важны тренды приходов и расходов - в тч по источникам"
1368391457,2023-04-24 11:30:43,Да,Семейные,"И то, и другое",на iOS (iPhone),"Использую программы для работы с таблицами и базами данных (MS Excel, MS Access, Google Sheets и т.п.) или придумываю инструменты сам(а)",,,,,,"Да, я хотел(а) бы попробовать",,Простота использования,,,Есть визуализация (аналитика),,,Можно отследить движение средств по категориям,,,,,Женщина,31,В РФ,Ярославская область,Ярославль,ВКонтакте,,YouTube,"Instagram* (* принадлежит организации, запрещенной на территории РФ)",,Telegram,,,,Через appstore или через друзей,В рублях РФ,Только безналичными деньгами,Еда,"Хозяйственный товары, предметы гигиены",,Выплаты по кредитам,,Обслуживание машины,,,,,Образование и занятия детей,,,,"Да, смог бы",20,5,15,30,0,5,5,0,10,5,10,0,0,
1368332046,2023-04-24 10:30:33,"Нет, но раньше вел(а)","Когда-то личные, когда-то семейные",Смартфон,на iOS (iPhone),Использую готовые сервисы учета финансов,,,,AppStore,,"Да, я хотел(а) бы попробовать",,Простота использования,,,Есть визуализация (аналитика),Можно всегда видеть остаток денежных средств,Можно сделать копилку (накопления),Можно отследить движение средств по категориям,Возможность посмотреть движение средств за период,,,,Женщина,38,В РФ,Москва,Москва,,,,"Instagram* (* принадлежит организации, запрещенной на территории РФ)",WhatsApp,Telegram,,,,AppStore,В рублях РФ,Только безналичными деньгами,Еда,"Хозяйственный товары, предметы гигиены","Регулярные платежи (ЖКУ, налоги, аренда жилья, мобильная связь, интернет)",Выплаты по кредитам,Общественный транспорт,Обслуживание машины,"Покупка одежды, обуви",Покупка бытовой техники,Бытовые услуги (от парикмахерской до оплачиваемой помощи по дому),"Развлечения, хобби, путешествия",Образование и занятия детей,Учеба взрослых,,,"Нет, не смог бы",,,,,,,,,,,,,,
1368282898,2023-04-24 09:37:47,"Нет, и никогда не вел(а)",,,,,,,,,"Скорее всего, я не буду заниматься учетом финансов",,,,,,,,,,,,,,Женщина,23,В РФ,Новосибирская область,Новосибирск,,,,,,Telegram,,,,Ищу статьи с подборкой сервисов,В рублях РФ,Только безналичными деньгами,Еда,,"Регулярные платежи (ЖКУ, налоги, аренда жилья, мобильная связь, интернет)",Выплаты по кредитам,,,,,,,,,Другое,"Такси, переводы другим людям","Нет, не смог бы",,,,,,,,,,,,,,
1368028066,2023-04-23 22:48:30,"Нет, и никогда не вел(а)",,,,,,,,,"Возможно, я когда-нибудь попробую вести учет финансов",,Скорее не буду пробовать,,,,,,,,,,,,Женщина,32,В РФ,Уральский,Екатеринбург,ВКонтакте,,YouTube,,,Telegram,,,,AppStore :),В рублях РФ,"И безналичными, и наличными деньгами",Еда,"Хозяйственный товары, предметы гигиены","Регулярные платежи (ЖКУ, налоги, аренда жилья, мобильная связь, интернет)",Выплаты по кредитам,,,"Покупка одежды, обуви",Покупка бытовой техники,Бытовые услуги (от парикмахерской до оплачиваемой помощи по дому),"Развлечения, хобби, путешествия",,,,,"Да, смог бы",25,,12,15,5,,,,,30,,,,
1367697625,2023-04-23 15:14:38,Да,Семейные,Смартфон,на ОС Android,Использую готовые сервисы учета финансов,"Дзенмани, дребеденьги","Можно делать план расходов и доходов, просты в использовании",Автоматическое заполнение,Интернет,,"Возможно, попробую",,Простота использования,"Можно пользоваться и мобильной версией, и десктопной, и даже онлайн",,,,,Можно отследить движение средств по категориям,,,,,Женщина,36,В РФ,Приморский край,Владивосток,ВКонтакте,,,"Instagram* (* принадлежит организации, запрещенной на территории РФ)",WhatsApp,Telegram,"Facebook* (* принадлежит организации, запрещенной на территории РФ)",,,В интернет,В рублях РФ,"И безналичными, и наличными деньгами",Еда,"Хозяйственный товары, предметы гигиены",,Выплаты по кредитам,,Обслуживание машины,"Покупка одежды, обуви",,Бытовые услуги (от парикмахерской до оплачиваемой помощи по дому),"Развлечения, хобби, путешествия",Образование и занятия детей,,,,"Нет, не смог бы",,,,,,,,,,,,,,
1367677982,2023-04-23 14:44:58,"Нет, и никогда не вел(а)",,,,,,,,,"Возможно, я когда-нибудь попробую вести учет финансов",,"Возможно, попробую",Простота использования,"Можно пользоваться и мобильной версией, и десктопной, и даже онлайн",Высокий уровень защиты информации о средствах,Есть визуализация (аналитика),Можно всегда видеть остаток денежных средств,,Можно отследить движение средств по категориям,Возможность посмотреть движение средств за период,,,,Женщина,30,В РФ,Москва,Москва,ВКонтакте,,,"Instagram* (* принадлежит организации, запрещенной на территории РФ)",WhatsApp,Telegram,,,,"Знакомые, Гугл",В рублях РФ,"И безналичными, и наличными деньгами",Еда,"Хозяйственный товары, предметы гигиены","Регулярные платежи (ЖКУ, налоги, аренда жилья, мобильная связь, интернет)",Выплаты по кредитам,Общественный транспорт,,"Покупка одежды, обуви",Покупка бытовой техники,Бытовые услуги (от парикмахерской до оплачиваемой помощи по дому),"Развлечения, хобби, путешествия",Образование и занятия детей,Учеба взрослых,,,"Нет, не смог бы",,,,,,,,,,,,,,
1367664132,2023-04-23 14:24:05,Да,"Когда-то личные, когда-то семейные",Смартфон,на iOS (iPhone),"Использую программы для работы с таблицами и базами данных (MS Excel, MS Access, Google Sheets и т.п.) или придумываю инструменты сам(а)",,,,,,"Да, я хотел(а) бы попробовать",,Простота использования,,Высокий уровень защиты информации о средствах,Есть визуализация (аналитика),,Можно сделать копилку (накопления),,Возможность посмотреть движение средств за период,,,,Женщина,36,В РФ,Москва,Москва,,,,"Instagram* (* принадлежит организации, запрещенной на территории РФ)",WhatsApp,Telegram,"Facebook* (* принадлежит организации, запрещенной на территории РФ)",,,Гугл,В рублях РФ,Только безналичными деньгами,Еда,"Хозяйственный товары, предметы гигиены","Регулярные платежи (ЖКУ, налоги, аренда жилья, мобильная связь, интернет)",Выплаты по кредитам,Общественный транспорт,,"Покупка одежды, обуви",,Бытовые услуги (от парикмахерской до оплачиваемой помощи по дому),,Образование и занятия детей,,,,"Да, смог бы",20,10,10,20,5,,10,,5,,10,,,
1367628443,2023-04-23 13:28:55,Да,Личные,"И то, и другое",на iOS (iPhone),"Использую программы для работы с таблицами и базами данных (MS Excel, MS Access, Google Sheets и т.п.) или придумываю инструменты сам(а)",,,,,,"Да, я хотел(а) бы попробовать",,Простота использования,,,Есть визуализация (аналитика),Можно всегда видеть остаток денежных средств,,,Возможность посмотреть движение средств за период,,,,Женщина,39,В РФ,Оренбургская,Оренбург,ВКонтакте,,,"Instagram* (* принадлежит организации, запрещенной на территории РФ)",WhatsApp,Telegram,,,,Интернет,В рублях РФ,Только безналичными деньгами,Еда,,,Выплаты по кредитам,Общественный транспорт,Обслуживание машины,"Покупка одежды, обуви",,,"Развлечения, хобби, путешествия",,,,,"Нет, не смог бы",,,,,,,,,,,,,,
1367036582,2023-04-22 16:52:23,Да,"Когда-то личные, когда-то семейные","И то, и другое",на iOS (iPhone),"Использую программы для работы с таблицами и базами данных (MS Excel, MS Access, Google Sheets и т.п.) или придумываю инструменты сам(а)",,,,,,Скорее не буду пробовать,,,,,,,,,,,,,Мужчина,27,В РФ,Ленинградская,Санкт-Петербург,,,YouTube,"Instagram* (* принадлежит организации, запрещенной на территории РФ)",,Telegram,,,,Никаким,В рублях РФ,Только безналичными деньгами,Еда,,"Регулярные платежи (ЖКУ, налоги, аренда жилья, мобильная связь, интернет)",,Общественный транспорт,,,,,,,,,,"Нет, не смог бы",,,,,,,,,,,,,,
1367029702,2023-04-22 16:42:44,"Нет, и никогда не вел(а)",,,,,,,,,"Возможно, я когда-нибудь попробую вести учет финансов",,Скорее не буду пробовать,,,,,,,,,,,,Мужчина,22,Не в РФ,,,ВКонтакте,Одноклассники,,"Instagram* (* принадлежит организации, запрещенной на территории РФ)",WhatsApp,Telegram,"Facebook* (* принадлежит организации, запрещенной на территории РФ)",,,Appstore,Не в рублях РФ,"И безналичными, и наличными деньгами",Еда,"Хозяйственный товары, предметы гигиены","Регулярные платежи (ЖКУ, налоги, аренда жилья, мобильная связь, интернет)",,,,"Покупка одежды, обуви",,Бытовые услуги (от парикмахерской до оплачиваемой помощи по дому),"Развлечения, хобби, путешествия",,,,,"Нет, не смог бы",,,,,,,,,,,,,,
1367025435,2023-04-22 16:37:05,"Нет, но раньше вел(а)",Личные,Смартфон,на iOS (iPhone),Использую готовые сервисы учета финансов,Умный счет,Простота,Все норм,В apple store,,"Возможно, попробую",,Простота использования,"Можно пользоваться и мобильной версией, и десктопной, и даже онлайн",Высокий уровень защиты информации о средствах,Есть визуализация (аналитика),Можно всегда видеть остаток денежных средств,Можно сделать копилку (накопления),Можно отследить движение средств по категориям,Возможность посмотреть движение средств за период,,,,Женщина,25,Не в РФ,,,,,YouTube,"Instagram* (* принадлежит организации, запрещенной на территории РФ)",,Telegram,"Facebook* (* принадлежит организации, запрещенной на территории РФ)",,,Рекомендации,Не в рублях РФ,"И безналичными, и наличными деньгами",Еда,"Хозяйственный товары, предметы гигиены","Регулярные платежи (ЖКУ, налоги, аренда жилья, мобильная связь, интернет)",,,Обслуживание машины,"Покупка одежды, обуви",Покупка бытовой техники,Бытовые услуги (от парикмахерской до оплачиваемой помощи по дому),"Развлечения, хобби, путешествия",,,,,"Нет, не смог бы",,,,,,,,,,,,,,
1366990746,2023-04-22 15:50:23,"Нет, но раньше вел(а)","Когда-то личные, когда-то семейные","И то, и другое",на iOS (iPhone),"Использую программы для работы с таблицами и базами данных (MS Excel, MS Access, Google Sheets и т.п.) или придумываю инструменты сам(а)",,,,,,"Возможно, попробую",,Простота использования,"Можно пользоваться и мобильной версией, и десктопной, и даже онлайн",Высокий уровень защиты информации о средствах,Есть визуализация (аналитика),Можно всегда видеть остаток денежных средств,Можно сделать копилку (накопления),Можно отследить движение средств по категориям,Возможность посмотреть движение средств за период,,,,Женщина,29,В РФ,Ростовская область,Ростов-на-Дону,,,,"Instagram* (* принадлежит организации, запрещенной на территории РФ)",WhatsApp,Telegram,,,,В апстор,В рублях РФ,Только безналичными деньгами,Еда,"Хозяйственный товары, предметы гигиены","Регулярные платежи (ЖКУ, налоги, аренда жилья, мобильная связь, интернет)",,Общественный транспорт,,"Покупка одежды, обуви",,Бытовые услуги (от парикмахерской до оплачиваемой помощи по дому),"Развлечения, хобби, путешествия",,,,,"Нет, не смог бы",,,,,,,,,,,,,,
1366696963,2023-04-22 07:42:19,"Нет, и никогда не вел(а)",,,,,,,,,"Возможно, я когда-нибудь попробую вести учет финансов",,"Да, я хотел(а) бы попробовать",,,,,,Можно сделать копилку (накопления),,,,,,Мужчина,45,В РФ,Ставропольский край,1,ВКонтакте,Одноклассники,YouTube,,WhatsApp,Telegram,,,,яндекс,В рублях РФ,"И безналичными, и наличными деньгами",Еда,"Хозяйственный товары, предметы гигиены","Регулярные платежи (ЖКУ, налоги, аренда жилья, мобильная связь, интернет)",Выплаты по кредитам,Общественный транспорт,Обслуживание машины,"Покупка одежды, обуви",Покупка бытовой техники,Бытовые услуги (от парикмахерской до оплачиваемой помощи по дому),"Развлечения, хобби, путешествия",Образование и занятия детей,Учеба взрослых,,,"Нет, не смог бы",,,,,,,,,,,,,,
1366284478,2023-04-21 17:02:55,Да,Семейные,"И то, и другое",на ОС Android,"Использую программы для работы с таблицами и базами данных (MS Excel, MS Access, Google Sheets и т.п.) или придумываю инструменты сам(а)",,,,,,"Возможно, попробую",,Простота использования,,Высокий уровень защиты информации о средствах,,Можно всегда видеть остаток денежных средств,,,,,,,Женщина,43,В РФ,Пермский край,Пермь,ВКонтакте,,,,,,,Другое,Viber,Google play,В рублях РФ,"И безналичными, и наличными деньгами",Еда,"Хозяйственный товары, предметы гигиены","Регулярные платежи (ЖКУ, налоги, аренда жилья, мобильная связь, интернет)",,Общественный транспорт,,"Покупка одежды, обуви",Покупка бытовой техники,Бытовые услуги (от парикмахерской до оплачиваемой помощи по дому),"Развлечения, хобби, путешествия",,Учеба взрослых,Другое,Содержание домашних животных,"Да, смог бы",33,7,18,,4,,5,9,2,15,,3,4,
1366102854,2023-04-21 13:54:18,Да,"Когда-то личные, когда-то семейные","И то, и другое",на ОС Android,"Использую программы для работы с таблицами и базами данных (MS Excel, MS Access, Google Sheets и т.п.) или придумываю инструменты сам(а)",,,,,,"Возможно, попробую",,Простота использования,,,Есть визуализация (аналитика),Можно всегда видеть остаток денежных средств,,Можно отследить движение средств по категориям,Возможность посмотреть движение средств за период,,,,Женщина,43,В РФ,Иркутская область,г. Усть-Илимск,,Одноклассники,YouTube,,WhatsApp,Telegram,,,,GooglePlay,В рублях РФ,"И безналичными, и наличными деньгами",Еда,"Хозяйственный товары, предметы гигиены","Регулярные платежи (ЖКУ, налоги, аренда жилья, мобильная связь, интернет)",Выплаты по кредитам,Общественный транспорт,,"Покупка одежды, обуви",Покупка бытовой техники,Бытовые услуги (от парикмахерской до оплачиваемой помощи по дому),,Образование и занятия детей,,,,"Нет, не смог бы",,,,,,,,,,,,,,
1365991918,2023-04-21 11:59:22,Да,"Когда-то личные, когда-то семейные",Смартфон,на ОС Android,Использую готовые сервисы учета финансов,CoinKeeper,"Возможность кастомизировать категории доходов и трат и тэги для них, возможность создать много счетов/карт/кошельков (потому что в реальности у меня их действительно много), индивидуальные комментарии к операциям, графики долей трат по разным основаниям и доходов/расходов по месяцам","Возможности группировать счета/карты/кошельки по категориям или папкам, чтобы сохранить возможность отдельного учета сумм на них, но не путаться в четырех экранах карусели.
Не хватает конвертера валют с кастомно задаваемым курсом (курсы обменников и банка часто отличаются от курса, который использует приложение, и не в РФ я в итоге веду учет в рублях и постоянно пересчитываю цены из местных денег вручную).
Напоминаний о дате и сумме платежей по кредиту.","Кажется, я просто загуглила самые популярные приложения для учета финансов и попробовала парочку",,"Возможно, попробую",,Простота использования,"Можно пользоваться и мобильной версией, и десктопной, и даже онлайн",,Есть визуализация (аналитика),Можно всегда видеть остаток денежных средств,Можно сделать копилку (накопления),Можно отследить движение средств по категориям,Возможность посмотреть движение средств за период,,,,Женщина,29,Не в РФ,,,ВКонтакте,,YouTube,,,Telegram,,,,"Топ Google Play
Поиск обзоров в Google
4PDA
Спрашиваю у знакомых","И в рублях РФ, и в другой валюте","И безналичными, и наличными деньгами",Еда,"Хозяйственный товары, предметы гигиены","Регулярные платежи (ЖКУ, налоги, аренда жилья, мобильная связь, интернет)",Выплаты по кредитам,Общественный транспорт,,"Покупка одежды, обуви",,Бытовые услуги (от парикмахерской до оплачиваемой помощи по дому),"Развлечения, хобби, путешествия",,Учеба взрослых,Другое,"Лекарства
Медицинские услуги
Услуги помогающих практиков (психолог, консультанты в разных сферах)
Подарки","Да, смог бы",20,5,5,10,15,0,5,5,5,,0,10,20,
1365732535,2023-04-21 06:47:29,"Нет, но раньше вел(а)",Личные,Смартфон,на ОС Android,"Использую программы для работы с таблицами и базами данных (MS Excel, MS Access, Google Sheets и т.п.) или придумываю инструменты сам(а)",,,,,,"Возможно, попробую",,Простота использования,,,Есть визуализация (аналитика),,,,,,,,Женщина,39,В РФ,Сахалинская область,Южно-Сахалинск,ВКонтакте,,,,,Telegram,,,,"Поисковик, вопросы друзьям",В рублях РФ,"И безналичными, и наличными деньгами",Еда,"Хозяйственный товары, предметы гигиены","Регулярные платежи (ЖКУ, налоги, аренда жилья, мобильная связь, интернет)",,Общественный транспорт,,"Покупка одежды, обуви",,Бытовые услуги (от парикмахерской до оплачиваемой помощи по дому),"Развлечения, хобби, путешествия",,Учеба взрослых,,,"Нет, не смог бы",,,,,,,,,,,,,,
1365677999,2023-04-21 03:40:57,"Нет, и никогда не вел(а)",,,,,,,,,"Возможно, я когда-нибудь попробую вести учет финансов",,"Да, я хотел(а) бы попробовать",Простота использования,"Можно пользоваться и мобильной версией, и десктопной, и даже онлайн",Высокий уровень защиты информации о средствах,Есть визуализация (аналитика),,Можно сделать копилку (накопления),Можно отследить движение средств по категориям,,Затрудняюсь ответить,,,Мужчина,20,В РФ,Ленинградская область,Санкт-Петербург,,,,"Instagram* (* принадлежит организации, запрещенной на территории РФ)",WhatsApp,Telegram,,,,В гугле,Не знаю,"И безналичными, и наличными деньгами",Еда,,,,Общественный транспорт,,"Покупка одежды, обуви",,Бытовые услуги (от парикмахерской до оплачиваемой помощи по дому),"Развлечения, хобби, путешествия",,,,,"Нет, не смог бы",,,,,,,,,,,,,,
1365666656,2023-04-21 02:24:21,"Нет, и никогда не вел(а)",,,,,,,,,"Нет, я не хочу учитывать свои финансы",,,,,,,,,,,,,,Мужчина,27,В РФ,Санкт-Петербург,Санкт-Петербург,ВКонтакте,,YouTube,,WhatsApp,Telegram,,,,Интернет,В рублях РФ,Только наличными деньгами,Еда,"Хозяйственный товары, предметы гигиены",,,Общественный транспорт,,"Покупка одежды, обуви",,,,,,,,"Да, смог бы",,,,,,,,,,,,,,
1365659537,2023-04-21 01:33:39,"Нет, но раньше вел(а)",Личные,"И то, и другое",на ОС Android,"Использую программы для работы с таблицами и базами данных (MS Excel, MS Access, Google Sheets и т.п.) или придумываю инструменты сам(а)",,,,,,"Да, я хотел(а) бы попробовать",,Простота использования,,Высокий уровень защиты информации о средствах,Есть визуализация (аналитика),,,Можно отследить движение средств по категориям,Возможность посмотреть движение средств за период,,,,Женщина,36,В РФ,Республика Крым,Симферополь,ВКонтакте,,,,WhatsApp,Telegram,,,,"Приложения RuStore, Google Play",В рублях РФ,"И безналичными, и наличными деньгами",Еда,"Хозяйственный товары, предметы гигиены","Регулярные платежи (ЖКУ, налоги, аренда жилья, мобильная связь, интернет)",,Общественный транспорт,,"Покупка одежды, обуви",,Бытовые услуги (от парикмахерской до оплачиваемой помощи по дому),,,,Другое,"- здоровье (лекарства, витамины, прием врачей, вакцинация, анализы и обследования)
- расходы на ребенка (педиатр, детское питание, подгузники, пеленки, одежда, игрушки, приспособления и пр.)
- расходы на домашний офис (канцелярия, программное обеспечение, обслуживание техники, аренда коворкингов)","Да, смог бы",25,12,20,,3,,8,,7,,,,25,
