,ID,Время создания,Ведете ли вы учет своих финансов?,Вы учитываете (учитывали) финансы:,Для учета финансов вам удобнее всего (было) использовать:,Каким смартфоном Вы пользуетесь,С помощью каких инструментов вы ведете (вели в прошлом) учет финансов:,"Назовите, пожалуйста, какие именно сервисы вы используете?",Какие возможности и функции этих сервисов нравятся вам больше всего?,Каких возможностей и функций в этих сервисах вам не хватает больше всего?,Как вы нашли эти сервисы?,Собираетесь ли вы вести учет своих финансов в будущем?,"Хотели бы вы попробовать готовый сервис учета финансов, которым  раньше никогда не пользовались?","Хотели бы вы попробовать готовый сервис учета финансов, которым раньше никогда не пользовались?",Какие свойства сервиса учета финансов для вас самые главные? (Можно выбрать несколько ответов) / Простота использования,"Какие свойства сервиса учета финансов для вас самые главные? (Можно выбрать несколько ответов) / Можно пользоваться и мобильной версией, и десктопной, и даже онлайн",Какие свойства сервиса учета финансов для вас самые главные? (Можно выбрать несколько ответов) / Высокий уровень защиты информации о средствах,Какие свойства сервиса учета финансов для вас самые главные? (Можно выбрать несколько ответов) / Есть визуализация (аналитика),Какие свойства сервиса учета финансов для вас самые главные? (Можно выбрать несколько ответов) / Можно всегда видеть остаток денежных средств,Какие свойства сервиса учета финансов для вас самые главные? (Можно выбрать несколько ответов) / Можно сделать копилку (накопления),Какие свойства сервиса учета финансов для вас самые главные? (Можно выбрать несколько ответов) / Можно отследить движение средств по категориям,Какие свойства сервиса учета финансов для вас самые главные? (Можно выбрать несколько ответов) / Возможность посмотреть движение средств за период,Какие свойства сервиса учета финансов для вас самые главные? (Можно выбрать несколько ответов) / Затрудняюсь ответить,Какие свойства сервиса учета финансов для вас самые главные? (Можно выбрать несколько ответов) / Другое,Другое:,Ваш пол:,Ваш возраст:,Вы сейчас живете:,"В регионе (край, республика, область, автономный округ):","В населенном пункте (город, поселок и т.п.):","Какими соцсетями, платформами, сайтами вы чаще всего пользуетесь (можно выбрать несколько вариантов)? / ВКонтакте","Какими соцсетями, платформами, сайтами вы чаще всего пользуетесь (можно выбрать несколько вариантов)? / Одноклассники","Какими соцсетями, платформами, сайтами вы чаще всего пользуетесь (можно выбрать несколько вариантов)? / YouTube","Какими соцсетями, платформами, сайтами вы чаще всего пользуетесь (можно выбрать несколько вариантов)? / Instagram* (* принадлежит организации, запрещенной на территории РФ)","Какими соцсетями, платформами, сайтами вы чаще всего пользуетесь (можно выбрать несколько вариантов)? / WhatsApp","Какими соцсетями, платформами, сайтами вы чаще всего пользуетесь (можно выбрать несколько вариантов)? / Telegram","Какими соцсетями, платформами, сайтами вы чаще всего пользуетесь (можно выбрать несколько вариантов)? / Facebook* (* принадлежит организации, запрещенной на территории РФ)","Какими соцсетями, платформами, сайтами вы чаще всего пользуетесь (можно выбрать несколько вариантов)? / Другое",Другое:.1,Какими способами вы обычно ищете нужные приложения или сервисы?,Ваши ближайшие доходы и расходы планируются:,Пользуетесь ли вы:,"Выберите, пожалуйста, по каким статьям из перечисленных ниже у вас есть регулярные расходы: / Еда","Выберите, пожалуйста, по каким статьям из перечисленных ниже у вас есть регулярные расходы: / Хозяйственный товары, предметы гигиены","Выберите, пожалуйста, по каким статьям из перечисленных ниже у вас есть регулярные расходы: / Регулярные платежи (ЖКУ, налоги, аренда жилья, мобильная связь, интернет)","Выберите, пожалуйста, по каким статьям из перечисленных ниже у вас есть регулярные расходы: / Выплаты по кредитам","Выберите, пожалуйста, по каким статьям из перечисленных ниже у вас есть регулярные расходы: / Общественный транспорт","Выберите, пожалуйста, по каким статьям из перечисленных ниже у вас есть регулярные расходы: / Обслуживание машины","Выберите, пожалуйста, по каким статьям из перечисленных ниже у вас есть регулярные расходы: / Покупка одежды, обуви","Выберите, пожалуйста, по каким статьям из перечисленных ниже у вас есть регулярные расходы: / Покупка бытовой техники","Выберите, пожалуйста, по каким статьям из перечисленных ниже у вас есть регулярные расходы: / Бытовые услуги (от парикмахерской до оплачиваемой помощи по дому)","Выберите, пожалуйста, по каким статьям из перечисленных ниже у вас есть регулярные расходы: / Развлечения, хобби, путешествия","Выберите, пожалуйста, по каким статьям из перечисленных ниже у вас есть регулярные расходы: / Образование и занятия детей","Выберите, пожалуйста, по каким статьям из перечисленных ниже у вас есть регулярные расходы: / Учеба взрослых","Выберите, пожалуйста, по каким статьям из перечисленных ниже у вас есть регулярные расходы: / Другое",Другое:.2,"Смогли ли бы вы хотя бы очень примерно оценить, как распределены ваши расходы по этим статьям в процентах (значок ""%"" указывать не надо)",Еда:,"Хозяйственный товары, предметы гигиены:","Регулярные платежи (ЖКУ, налоги, аренда жилья, мобильная связь, интернет)",Выплаты по кредитам:,Общественный транспорт:,Обслуживание машины:,"Покупка одежды, обуви:",Покупка бытовой техники:,Бытовые услуги (от парикмахерской до оплачиваемой помощи по дому):,"Развлечения, хобби, путешествия:",Образование и занятия детей:,Учеба взрослых:,Другое:.3,Комментарии и пожелания:,servis_new,luky_funk,Продвижение,pegion_coord
0,1376375595,2023-05-03 06:21:24,Да,Личные,"И то, и другое",на ОС Android,"Использую программы для работы с таблицами и базами данных (MS Excel, MS Access, Google Sheets и т.п.) или придумываю инструменты сам(а)",,,,,,"Да, я хотел(а) бы попробовать",,Простота использования,"Можно пользоваться и мобильной версией, и десктопной, и даже онлайн",Высокий уровень защиты информации о средствах,Есть визуализация (аналитика),Можно всегда видеть остаток денежных средств,,Можно отследить движение средств по категориям,Возможность посмотреть движение средств за период,,,,Мужчина,44,В РФ,Тюменская область,Тюмень,ВКонтакте,,YouTube,,,Telegram,,,,"google
Обзоры на Habr, VC",В рублях РФ,Только безналичными деньгами,Еда,"Хозяйственный товары, предметы гигиены","Регулярные платежи (ЖКУ, налоги, аренда жилья, мобильная связь, интернет)",Выплаты по кредитам,Общественный транспорт,,"Покупка одежды, обуви",Покупка бытовой техники,Бытовые услуги (от парикмахерской до оплачиваемой помощи по дому),"Развлечения, хобби, путешествия",,Учеба взрослых,,,"Нет, не смог бы",,,,,,,,,,,,,,,,,,"[[58.530251, 75], [58.133607, 74.206376], [58.149162, 73.084429], [58.006105, 72.87221], [58.023049, 72.121646], [58.12471, 71.988879], [58.071106, 71.23859], [58.39749, 71.30386800000001], [58.542494, 70.87303600000001], [57.917128, 70.37865200000002], [57.566665, 70.69109000000002], [57.383881, 70.42720500000001], [57.193047, 70.69443100000001], [57.328049, 70.811649], [57.340828, 71.10248], [57.220543, 71.090274], [56.826385, 71.675539], [56.669159, 71.348879], [56.710273, 71.05582], [56.555549, 71.090822], [56.461104, 70.759722], [56.411659, 70.941362], [56.28666, 70.762775], [56.122491, 70.91665900000001], [55.98527, 70.86220200000001], [55.891666, 70.47415600000001], [55.86333, 70.75915800000001], [55.702777, 70.54220900000001], [55.597773999999994, 70.76361400000002], [55.136337, 70.22858800000002], [55.451198, 68.96036200000002], [55.275921, 68.96538900000002], [55.40083, 68.47720700000002], [55.581112, 68.17053700000002], [55.704715, 68.19386700000003], [55.727488, 67.45110000000003], [55.959161, 67.31053600000003], [56.049438, 66.69693400000003], [55.949432, 66.43970200000003], [56.068603, 66.19637000000003], [55.988044, 66.02027000000002], [56.273604, 65.66721200000002], [56.285826, 65.16776100000003], [56.372762, 65.21138600000003], [56.49554, 64.96639200000003], [56.735262999999996, 64.97693600000002], [56.772211999999996, 65.17388000000003], [56.929429999999996, 65.24137000000003], [56.909707999999995, 65.05971400000003], [57.24443099999999, 64.99248400000003], [57.310264999999994, 64.82500500000003], [57.586372999999995, 65.01111600000003], [57.638321, 64.82639300000002], [57.835539999999995, 65.39943700000002], [58.032202999999996, 66.20471900000003], [58.614363999999995, 65.93460900000002], [58.678869999999996, 66.78943700000002], [58.930341999999996, 66.76951000000003], [59.210814, 67.72332100000003], [59.280814, 68.36998800000002], [59.580816999999996, 68.56165300000002], [59.782757999999994, 69.29721800000002], [59.896930999999995, 69.06638400000001], [59.989703999999996, 69.28638500000001], [59.816928, 70.379158], [59.806644, 70.99498700000001], [59.915811999999995, 71.17415600000001], [59.563593999999995, 72.011114], [59.151371, 72.529989], [59.13915, 72.936651], [58.951925, 73.09804199999999], [58.861654, 73.01833099999999], [58.650145, 75.15974899999999], [58.535544, 75.016943]]"
1,1376305436,2023-05-03 00:54:19,"Нет, и никогда не вел(а)",,,,,,,,,"Да, я хочу учитывать свои финансы",,"Да, я хотел(а) бы попробовать",Простота использования,"Можно пользоваться и мобильной версией, и десктопной, и даже онлайн",,Есть визуализация (аналитика),,,,,,,,Женщина,26,В РФ,Московская область,Москва,,,,,,Telegram,,,,"Теlegram, статьи",В рублях РФ,Только безналичными деньгами,Еда,"Хозяйственный товары, предметы гигиены","Регулярные платежи (ЖКУ, налоги, аренда жилья, мобильная связь, интернет)",Выплаты по кредитам,Общественный транспорт,,"Покупка одежды, обуви",,Бытовые услуги (от парикмахерской до оплачиваемой помощи по дому),"Развлечения, хобби, путешествия",,Учеба взрослых,Другое,"Подарки
Уход за собой 
Здоровье 
Рестораны и бары 
Спонтанные покупки 
Техника 
Подписки (музыка, фильмы, софт)","Нет, не смог бы",,,,,,,,,,,,,,,,,,"[[56.770264, 38.256523], [56.531938, 38.292769], [55.962213999999996, 38.597487], [55.758891, 39.354994], [55.825831, 39.857495], [55.619441, 40.083599], [55.449435, 40.183872], [55.309436, 40.206653], [55.126103, 39.720264], [55.080555000000004, 39.888325], [54.936382, 39.479984], [54.634999, 39.232487], [54.598882, 38.811932], [54.463614, 38.790273], [54.400833, 38.917491999999996], [54.250555999999996, 38.697483999999996], [54.471380999999994, 38.387769999999996], [54.636388999999994, 38.476932999999995], [54.83777499999999, 37.89388099999999], [54.71361399999999, 37.67137699999999], [54.854443999999994, 37.203320999999995], [55.230548999999996, 36.909986999999994], [55.321667, 36.43332699999999], [55.183056, 36.13777199999999], [55.295833, 35.70027199999999], [55.310465, 35.29032999999999], [55.555712, 35.27665799999999], [55.617036, 35.39998699999999], [55.95269, 35.16773399999999], [56.233146999999995, 35.36525099999999], [56.252525, 35.51998099999999], [56.459762, 35.460258999999986], [56.34166, 36.08943199999999], [56.584717, 36.81832899999999], [56.514717, 37.05332099999999], [56.746100999999996, 37.15276999999999], [56.780547, 37.49193499999999], [56.954162, 37.71720799999999], [56.768598999999995, 38.25416399999999]]"
2,1376106667,2023-05-02 19:57:39,Да,Личные,Смартфон,на ОС Android,Использую готовые сервисы учета финансов,"Сбербанк, МТС Онлайн.",Перевод и снятие наличных денег.,Всё Ок!,Через СМИ.,,"Возможно, попробую",,Простота использования,,,Есть визуализация (аналитика),Можно всегда видеть остаток денежных средств,Можно сделать копилку (накопления),Можно отследить движение средств по категориям,,,,,Мужчина,40,В РФ,Ставропольский край,Село Краснокумское,,Одноклассники,YouTube,,,Telegram,,,,Через поисковые системы браузера.,В рублях РФ,"И безналичными, и наличными деньгами",Еда,"Хозяйственный товары, предметы гигиены",,,Общественный транспорт,,"Покупка одежды, обуви",,Бытовые услуги (от парикмахерской до оплачиваемой помощи по дому),,,,,,"Нет, не смог бы",,,,,,,,,,,,,,"Всем здоровья и доброты!
Творите, шутите и не обрастайте стереотипами!
                  Мамедов С. Я.",Приложение банка,Нет ответа,Реклама,"[[43.704681, 45], [43.662209000000004, 44.832498], [43.818831, 44.285082], [44.000541000000005, 44.419160000000005], [43.993050000000004, 43.890550000000005], [43.840829000000014, 43.747209000000005], [43.804995000000005, 43.33249800000001], [43.951379, 43.17777400000001], [43.807329, 42.683412000000004], [44.042501, 42.599721], [43.96721, 42.38611], [44.092221, 42.291114], [44.289162000000005, 42.557211], [44.361488, 42.038184], [44.458648000000004, 41.729336], [44.652205, 41.431936], [44.969435000000004, 41.657765], [44.988882000000004, 41.463055999999995], [45.24832000000001, 41.28972399999999], [45.217375000000004, 41.02691399999999], [45.697202000000004, 40.85860199999999], [45.751386000000004, 41.27998799999999], [45.954427, 41.16054299999999], [45.926381, 42.10444299999999], [46.104152, 42.17610499999999], [46.127758, 42.333605999999996], [45.969433, 42.318889], [45.989422000000005, 42.517213999999996], [46.24331300000001, 42.91414699999999], [45.941089000000005, 43.891372999999994], [45.59721100000001, 44.23110199999999], [45.16081000000001, 45.58193899999999], [45.00860500000001, 45.71776399999999], [44.80555000000001, 45.661374999999985], [44.57026800000001, 45.250540999999984], [44.464708000000016, 45.22415199999998], [44.402774000000015, 45.444152999999986], [44.307774000000016, 45.398330999999985], [44.209989000000014, 45.10277699999998], [44.187207000000015, 45.51748699999998], [44.01267100000001, 45.50952199999998], [43.87832500000001, 45.447206999999985], [43.95221400000001, 45.076380999999984], [43.70884500000001, 45.00466499999998]]"
3,1376098619,2023-05-02 19:49:44,"Нет, но раньше вел(а)",Семейные,Компьютер или ноутбук,,Использую готовые сервисы учета финансов,Домашняя бухгалтерия,,,,,"Нет, точно не буду пробовать",,,,,,,,,,,,,Женщина,45,В РФ,Ленинградская область,СПб,ВКонтакте,,,,WhatsApp,Telegram,,,,Play market,В рублях РФ,"И безналичными, и наличными деньгами",Еда,"Хозяйственный товары, предметы гигиены","Регулярные платежи (ЖКУ, налоги, аренда жилья, мобильная связь, интернет)",Выплаты по кредитам,,Обслуживание машины,"Покупка одежды, обуви",,Бытовые услуги (от парикмахерской до оплачиваемой помощи по дому),"Развлечения, хобби, путешествия",,,,,"Нет, не смог бы",,,,,,,,,,,,,,,Домашняя бухгалтерия,,,"[[59.959415, 30.237806], [60.010306, 29.971666], [60.163886, 29.873862], [60.161724, 29.144334999999998], [60.352306, 28.620918], [60.547165, 28.447502], [60.44, 28.718224], [60.601501, 28.554641999999998], [60.592999, 28.707641], [60.66397, 28.754194], [60.77236, 28.712277999999998], [60.511663999999996, 28.242082999999997], [60.534803999999994, 27.794332999999998], [61.303892999999995, 29.276833999999997], [60.64527, 32.704994], [60.746098999999994, 33.112769], [61.003049, 33.421935], [60.940542, 33.738324999999996], [61.069990000000004, 33.868047], [61.074995, 33.552488], [61.155545000000004, 33.439428], [61.221653, 33.533605], [61.145268, 34.416662], [61.323322000000005, 34.740544], [61.289159000000005, 35.341099], [61.154425, 35.405262], [61.218, 35.71905], [60.871374, 35.474704], [60.778876000000004, 35.142764], [60.593048, 35.266657], [60.035272000000006, 35.083322], [59.97602200000001, 35.41472], [59.71221400000001, 35.404985], [59.64027700000001, 35.637766000000006], [59.650272000000015, 35.494708], [59.48472200000001, 35.493319], [59.49388500000001, 35.28361], [59.425550000000015, 35.458589], [59.302489000000016, 35.391360000000006], [59.25444700000001, 34.91192900000001], [59.09833600000001, 34.80609400000001], [59.14749900000001, 34.004993000000006], [59.37527400000001, 33.52943100000001], [59.32361600000001, 33.243322000000006], [59.43527200000001, 33.008605], [59.12249700000001, 32.665267], [59.20278100000001, 32.286659], [59.39805400000001, 32.131104], [59.36888700000001, 31.550831000000002], [59.20861000000001, 31.558887000000002], [58.984443000000006, 31.315], [59.077498000000006, 31.003611000000003], [58.74888500000001, 30.713331000000004], [58.73333800000001, 30.095832000000005], [58.53277700000001, 30.174167000000004], [58.44305700000001, 30.041110000000003], [58.47527600000001, 29.543614], [58.82222900000001, 28.960279], [58.84888600000001, 28.280556999999998], [58.979439000000006, 27.702344999999998], [59.24376000000001, 27.904253999999998], [59.36031400000001, 28.205503999999998], [59.47081300000001, 28.048892999999996], [59.79525700000001, 28.110308999999997], [59.657452000000006, 28.354086999999996], [59.834228, 28.485836999999997], [59.814537, 28.988528999999996], [59.884285, 29.084583999999996], [59.98737, 29.130387999999996], [59.857091, 30.166748999999996], [59.957094, 30.236192999999997]]"
5,1376066404,2023-05-02 19:18:37,Да,Личные,Смартфон,на ОС Android,Использую готовые сервисы учета финансов,Коинкипер,,,,,Скорее не буду пробовать,,,,,,,,,,,,,Женщина,39,В РФ,Московская область,Москва,,,,,,Telegram,,,,Не ищу,В рублях РФ,Только безналичными деньгами,Еда,"Хозяйственный товары, предметы гигиены","Регулярные платежи (ЖКУ, налоги, аренда жилья, мобильная связь, интернет)",,,Обслуживание машины,,,Бытовые услуги (от парикмахерской до оплачиваемой помощи по дому),"Развлечения, хобби, путешествия",Образование и занятия детей,Учеба взрослых,,,"Нет, не смог бы",,,,,,,,,,,,,,,CoinKeeper,,,"[[56.770264, 38.256523], [56.531938, 38.292769], [55.962213999999996, 38.597487], [55.758891, 39.354994], [55.825831, 39.857495], [55.619441, 40.083599], [55.449435, 40.183872], [55.309436, 40.206653], [55.126103, 39.720264], [55.080555000000004, 39.888325], [54.936382, 39.479984], [54.634999, 39.232487], [54.598882, 38.811932], [54.463614, 38.790273], [54.400833, 38.917491999999996], [54.250555999999996, 38.697483999999996], [54.471380999999994, 38.387769999999996], [54.636388999999994, 38.476932999999995], [54.83777499999999, 37.89388099999999], [54.71361399999999, 37.67137699999999], [54.854443999999994, 37.203320999999995], [55.230548999999996, 36.909986999999994], [55.321667, 36.43332699999999], [55.183056, 36.13777199999999], [55.295833, 35.70027199999999], [55.310465, 35.29032999999999], [55.555712, 35.27665799999999], [55.617036, 35.39998699999999], [55.95269, 35.16773399999999], [56.233146999999995, 35.36525099999999], [56.252525, 35.51998099999999], [56.459762, 35.460258999999986], [56.34166, 36.08943199999999], [56.584717, 36.81832899999999], [56.514717, 37.05332099999999], [56.746100999999996, 37.15276999999999], [56.780547, 37.49193499999999], [56.954162, 37.71720799999999], [56.768598999999995, 38.25416399999999]]"
7,1374794004,2023-05-01 14:54:19,Да,Личные,Смартфон,на ОС Android,Использую готовые сервисы учета финансов,Сбербанк онлайн,,,,,Скорее не буду пробовать,,,,,,,,,,,,,Женщина,33,В РФ,Вологодская область,Вологда,ВКонтакте,,YouTube,"Instagram* (* принадлежит организации, запрещенной на территории РФ)",,Telegram,,,,Play market,В рублях РФ,Только безналичными деньгами,Еда,"Хозяйственный товары, предметы гигиены","Регулярные платежи (ЖКУ, налоги, аренда жилья, мобильная связь, интернет)",,,,"Покупка одежды, обуви",,Бытовые услуги (от парикмахерской до оплачиваемой помощи по дому),"Развлечения, хобби, путешествия",,Учеба взрослых,,,"Нет, не смог бы",,,,,,,,,,,,,,,Приложение банка,,,"[[59.115959, 45], [59.26096999999999, 43.750198], [59.16944099999999, 43.5261], [59.30165799999999, 43.488328], [59.20759499999999, 43.338204000000005], [59.16499199999999, 42.810549], [59.31860299999999, 42.612216000000004], [59.26166499999999, 42.276104000000004], [59.42860299999999, 42.049169000000006], [59.283332999999985, 41.95721900000001], [59.23693799999999, 42.09415900000001], [59.12054399999999, 42.033057000000014], [58.96527099999999, 41.16694600000002], [58.876938999999986, 41.24777800000002], [58.724991999999986, 41.224997000000016], [58.579247999999986, 40.92623800000002], [58.54805099999999, 40.17972600000002], [58.90277099999999, 39.61028300000002], [58.95721299999999, 39.101396000000015], [58.93887999999999, 38.932504000000016], [58.73888299999999, 38.92138900000002], [58.735824999999984, 38.04695500000002], [58.49035699999998, 37.62643000000002], [58.870269999999984, 37.091672000000024], [58.81805499999999, 36.785008000000026], [58.531663999999985, 36.50140100000002], [58.51082899999999, 36.22417100000002], [58.704438999999994, 36.11972600000002], [58.83777099999999, 35.71694800000002], [58.76304899999999, 35.266310000000026], [58.81330399999999, 35.119575000000026], [58.93384899999999, 35.179008000000024], [59.05526899999999, 34.884454000000034], [59.10336499999999, 34.72989700000003], [59.25444099999999, 34.91195000000003], [59.302482999999995, 35.39138100000003], [59.425543999999995, 35.45861000000003], [59.49387899999999, 35.28363100000003], [59.48471599999999, 35.493340000000025], [59.650265999999995, 35.49472900000003], [59.65359899999999, 35.64112100000003], [59.71220699999999, 35.40500600000003], [59.97601499999999, 35.41474100000003], [60.01720599999999, 35.08473300000003], [60.593040999999985, 35.26667900000003], [60.778868999999986, 35.14278600000003], [60.871366999999985, 35.47472600000003], [61.217992999999986, 35.71907200000003], [61.55469999999998, 36.64278500000003], [61.52220699999998, 37.77306300000003], [61.14248499999998, 37.964172000000026], [61.12275599999998, 38.18805700000003], [60.919432999999984, 38.21528500000003], [60.95831899999998, 38.38167300000003], [60.70776199999998, 38.642506000000026], [60.65345699999998, 39.186634000000026], [60.74970899999998, 39.645557000000025], [60.64776499999998, 39.96750100000003], [60.78776399999998, 40.42583700000003], [60.784711999999985, 40.743891000000026], [60.645819999999986, 41.35389200000002], [60.852209999999985, 41.37833500000002], [60.91970699999999, 41.92111200000002], [60.767760999999986, 42.40583000000002], [60.866652999999985, 42.641113000000026], [60.734428999999984, 42.989723000000026], [60.76554199999998, 43.521109000000024], [61.021926999999984, 43.77416700000003], [61.082205999999985, 44.070553000000025], [61.082487999999984, 44.17277200000002], [60.969427999999986, 44.15360800000002], [60.90386799999999, 45.22916100000002], [61.20776099999999, 45.34083200000002], [61.16750099999999, 45.79594100000002], [61.02415199999999, 45.75944200000002], [60.984982999999986, 46.05749900000002], [61.06386999999999, 46.52083100000002], [60.82470499999999, 47.08526800000002], [60.655256999999985, 46.95277600000002], [60.57665199999998, 47.06166200000002], [60.51526699999998, 46.85666000000002], [60.25637999999998, 46.74499600000002], [60.24248799999998, 46.29499900000002], [60.06526499999998, 46.60610200000002], [60.11831999999998, 47.036942000000025], [59.784435999999985, 46.923050000000025], [59.76137999999999, 47.12304600000002], [59.61137999999999, 47.11351700000002], [59.63248899999999, 46.40526500000002], [59.34248899999999, 46.355552000000024], [59.30971399999999, 46.03137900000002], [59.18166399999999, 45.94915700000002], [59.11554799999999, 45.018883000000024]]"
8,1374720103,2023-05-01 13:03:19,"Нет, и никогда не вел(а)",,,,,,,,,"Возможно, я когда-нибудь попробую вести учет финансов",,"Возможно, попробую",Простота использования,"Можно пользоваться и мобильной версией, и десктопной, и даже онлайн",,Есть визуализация (аналитика),,,,,,,,Мужчина,36,В РФ,Вологодская область,Вологда,ВКонтакте,,YouTube,,WhatsApp,,,,,Play market,В рублях РФ,"И безналичными, и наличными деньгами",Еда,,"Регулярные платежи (ЖКУ, налоги, аренда жилья, мобильная связь, интернет)",Выплаты по кредитам,Общественный транспорт,,,,,"Развлечения, хобби, путешествия",,,,,"Нет, не смог бы",,,,,,,,,,,,,,,,,,"[[59.115959, 45], [59.26096999999999, 43.750198], [59.16944099999999, 43.5261], [59.30165799999999, 43.488328], [59.20759499999999, 43.338204000000005], [59.16499199999999, 42.810549], [59.31860299999999, 42.612216000000004], [59.26166499999999, 42.276104000000004], [59.42860299999999, 42.049169000000006], [59.283332999999985, 41.95721900000001], [59.23693799999999, 42.09415900000001], [59.12054399999999, 42.033057000000014], [58.96527099999999, 41.16694600000002], [58.876938999999986, 41.24777800000002], [58.724991999999986, 41.224997000000016], [58.579247999999986, 40.92623800000002], [58.54805099999999, 40.17972600000002], [58.90277099999999, 39.61028300000002], [58.95721299999999, 39.101396000000015], [58.93887999999999, 38.932504000000016], [58.73888299999999, 38.92138900000002], [58.735824999999984, 38.04695500000002], [58.49035699999998, 37.62643000000002], [58.870269999999984, 37.091672000000024], [58.81805499999999, 36.785008000000026], [58.531663999999985, 36.50140100000002], [58.51082899999999, 36.22417100000002], [58.704438999999994, 36.11972600000002], [58.83777099999999, 35.71694800000002], [58.76304899999999, 35.266310000000026], [58.81330399999999, 35.119575000000026], [58.93384899999999, 35.179008000000024], [59.05526899999999, 34.884454000000034], [59.10336499999999, 34.72989700000003], [59.25444099999999, 34.91195000000003], [59.302482999999995, 35.39138100000003], [59.425543999999995, 35.45861000000003], [59.49387899999999, 35.28363100000003], [59.48471599999999, 35.493340000000025], [59.650265999999995, 35.49472900000003], [59.65359899999999, 35.64112100000003], [59.71220699999999, 35.40500600000003], [59.97601499999999, 35.41474100000003], [60.01720599999999, 35.08473300000003], [60.593040999999985, 35.26667900000003], [60.778868999999986, 35.14278600000003], [60.871366999999985, 35.47472600000003], [61.217992999999986, 35.71907200000003], [61.55469999999998, 36.64278500000003], [61.52220699999998, 37.77306300000003], [61.14248499999998, 37.964172000000026], [61.12275599999998, 38.18805700000003], [60.919432999999984, 38.21528500000003], [60.95831899999998, 38.38167300000003], [60.70776199999998, 38.642506000000026], [60.65345699999998, 39.186634000000026], [60.74970899999998, 39.645557000000025], [60.64776499999998, 39.96750100000003], [60.78776399999998, 40.42583700000003], [60.784711999999985, 40.743891000000026], [60.645819999999986, 41.35389200000002], [60.852209999999985, 41.37833500000002], [60.91970699999999, 41.92111200000002], [60.767760999999986, 42.40583000000002], [60.866652999999985, 42.641113000000026], [60.734428999999984, 42.989723000000026], [60.76554199999998, 43.521109000000024], [61.021926999999984, 43.77416700000003], [61.082205999999985, 44.070553000000025], [61.082487999999984, 44.17277200000002], [60.969427999999986, 44.15360800000002], [60.90386799999999, 45.22916100000002], [61.20776099999999, 45.34083200000002], [61.16750099999999, 45.79594100000002], [61.02415199999999, 45.75944200000002], [60.984982999999986, 46.05749900000002], [61.06386999999999, 46.52083100000002], [60.82470499999999, 47.08526800000002], [60.655256999999985, 46.95277600000002], [60.57665199999998, 47.06166200000002], [60.51526699999998, 46.85666000000002], [60.25637999999998, 46.74499600000002], [60.24248799999998, 46.29499900000002], [60.06526499999998, 46.60610200000002], [60.11831999999998, 47.036942000000025], [59.784435999999985, 46.923050000000025], [59.76137999999999, 47.12304600000002], [59.61137999999999, 47.11351700000002], [59.63248899999999, 46.40526500000002], [59.34248899999999, 46.355552000000024], [59.30971399999999, 46.03137900000002], [59.18166399999999, 45.94915700000002], [59.11554799999999, 45.018883000000024]]"
